Tiempo,Posición,Velocidad,Ángulo,Velocidad angular,Acción
0.0,-70.0,-5044.46,179.4,-51.3,-0.9690751
0.1513841152191162,-415.0,-10321.85,175.95,-134.1,-0.9559397
0.19247031211853027,-907.0,-13421.22,171.9,-131.04,-0.93480366
0.2308213710784912,-1488.0,-14678.18,167.4,-117.74,-0.8928354
0.2708125114440918,-2107.0,-15858.21,163.5,-93.28,-0.90498996
0.3103806972503662,-2720.0,-16302.65,160.65,-70.2,-0.90404075
0.34989047050476074,-3405.0,-17073.55,158.85,-34.77,-0.8712347
0.3923976421356201,-4102.0,-16817.9,158.7,11.73,-0.82068956
0.43428778648376465,-4778.0,-16275.84,160.35,69.42,-0.67874664
0.4732334613800049,-5268.0,-6306.76,164.85,189.2,-0.08095846
0.5135588645935059,-5189.0,5052.21,176.1,328.39,0.7769691
0.5547850131988525,-4852.0,9504.13,-169.8,347.11,0.8528196
0.5969936847686768,-4396.0,11789.41,-155.7,351.26,0.8930221
0.6353473663330078,-3936.0,12937.96,-144.6,289.3,0.9063307
0.6741433143615723,-3377.0,14668.77,-133.8,260.25,0.90988445
0.7144017219543457,-2780.0,15012.64,-126.45,142.23,0.92399645
0.7545046806335449,-2164.0,15625.0,-122.1,70.67,0.90099156
0.7949731349945068,-1498.0,15906.17,-121.8,-12.05,0.8553702
0.8361234664916992,-855.0,16078.68,-125.55,-117.08,0.81567925
0.8761122226715088,-242.0,15537.6,-132.45,-221.41,0.79457504
0.9167170524597168,397.0,15057.44,-143.4,-302.7,0.72561866
0.9585371017456055,1015.0,13691.04,-157.95,-356.13,0.23991956
1.0022962093353271,1488.0,9840.6,-174.45,-451.37,-0.4638603
1.0405488014221191,1606.0,-941.78,166.65,-539.38,-0.8691618
1.0776634216308594,1393.0,-7531.11,145.35,-564.83,-0.9226296
1.1197509765625,979.0,-11088.07,124.2,-490.59,-0.8984859
1.160334587097168,489.0,-12357.41,105.9,-415.87,-0.8052808
1.2004930973052979,-44.0,-13323.87,92.1,-307.47,-0.6882961
1.2423522472381592,-586.0,-13024.14,82.95,-190.6,-0.5778231
1.2810404300689697,-1111.0,-12760.83,78.6,-72.23,-0.03059703
1.322371006011963,-1600.0,-12025.52,78.45,12.27,-0.5796664
1.3637535572052002,-2100.0,-12800.0,82.5,132.0,-0.6285683
1.4043402671813965,-2603.0,-12763.24,91.05,251.28,-0.6110115
1.443511724472046,-3090.0,-12840.84,103.35,368.58,-0.50608253
1.4799830913543701,-3539.0,-11555.63,118.95,466.21,-0.23967464
1.5179333686828613,-3845.0,-4329.0,139.95,611.89,0.7686505
1.5567328929901123,-3741.0,5389.72,165.6,708.96,0.8960531
1.5967228412628174,-3382.0,10502.86,-163.8,787.71,0.90609664
1.636732578277588,-2913.0,11435.83,-133.05,726.65,0.6836543
1.677704095840454,-2472.0,10399.87,-106.05,628.83,0.48239028
1.716963529586792,-2108.0,9022.31,-84.6,529.04,0.3881463
1.7559959888458252,-1817.0,6446.75,-67.2,426.99,-0.32168654
1.7949261665344238,-1714.0,86.57,-52.8,376.56,-0.5548202
1.8347907066345215,-1754.0,86.51,-40.05,311.42,0.50524825
1.8743975162506104,-1622.0,4432.32,-32.1,166.21,0.56016743
1.9153594970703125,-1501.0,-1393.24,-27.0,117.55,-0.93954104
1.9554333686828613,-1699.0,-5124.7,-19.8,140.93,-0.14299232
1.9934229850769043,-1848.0,-3023.5,-15.3,116.62,0.21118067
2.0324623584747314,-1904.0,-87.63,-12.75,26.29,0.30991703
2.0731863975524902,-1894.0,-708.72,-12.3,-13.29,-0.50608516
2.1125125885009766,-2006.0,-3450.66,-10.35,64.7,-0.48498166
2.1535613536834717,-2149.0,-3087.48,-9.9,25.73,-0.09828074
2.1939313411712646,-2242.0,-1844.05,-10.2,-39.52,-0.10311307
2.234727144241333,-2302.0,-1304.8,-12.0,-52.19,-0.20479198
2.276160955429077,-2350.0,-1048.58,-14.7,-91.75,-0.22940889
2.3159167766571045,-2379.0,-436.6,-18.3,-104.79,-0.11831752
2.3535358905792236,-2386.0,-174.58,-23.25,-157.12,-0.22777158
2.390930652618408,-2388.0,0.0,-30.15,-173.3,0.08670899
2.432307720184326,-2388.0,-88.18,-39.6,-251.32,0.2561399
2.470964193344116,-2342.0,2419.63,-51.0,-324.06,0.5887712
2.5108869075775146,-2199.0,3326.51,-68.1,-435.01,0.28236368
2.553934097290039,-2099.0,1711.74,-89.85,-564.88,-0.027713293
2.5956852436065674,-2083.0,0.0,-115.2,-658.13,0.15805873
2.6360249519348145,-2098.0,-773.2,-143.25,-760.31,-0.23106654
2.67276668548584,-2169.0,-3528.23,-172.35,-856.85,-0.60342515
2.7114148139953613,-2372.0,-4403.46,152.85,-835.0,-0.023303805
2.7539870738983154,-2464.0,-1016.6,122.85,-724.33,0.28556263
2.7943215370178223,-2469.0,-514.05,95.55,-616.86,-0.41286305
2.8344154357910156,-2502.0,-859.7,73.8,-515.82,-0.33986497
2.874178647994995,-2524.0,-85.91,56.4,-386.6,0.041284136
2.916069269180298,-2524.0,0.0,41.4,-305.42,-0.12755322
2.956470489501953,-2524.0,0.0,30.75,-252.84,0.072624646
2.9959940910339355,-2524.0,0.0,22.2,-199.96,0.23962384
3.0353822708129883,-2504.0,1207.31,15.75,-168.16,0.39034563
3.0743017196655273,-2433.0,1892.64,8.7,-180.66,0.30465567
3.1139934062957764,-2360.0,1804.74,3.75,-141.8,0.27193245
3.1506171226501465,-2316.0,860.59,-1.8,-142.0,0.14294492
3.190519332885742,-2304.0,174.09,-6.15,-117.51,0.21875893
3.2308061122894287,-2303.0,0.0,-11.7,-133.07,0.15968624
3.2710821628570557,-2303.0,0.0,-17.7,-159.18,0.086525396
3.310397148132324,-2303.0,0.0,-25.5,-186.3,0.12645255
3.3506555557250977,-2302.0,87.94,-34.5,-263.81,0.26877952
3.3888185024261475,-2273.0,1798.56,-45.3,-295.48,0.5402328
3.4298224449157715,-2160.0,2880.38,-61.05,-419.35,0.3590075
3.4703056812286377,-2066.0,1697.79,-80.55,-547.54,-0.01590459
3.506464719772339,-2048.0,-86.45,-101.85,-622.41,0.053132966
3.5475735664367676,-2049.0,0.0,-129.6,-724.96,0.13688228
3.5878846645355225,-2058.0,-509.68,-160.05,-802.75,-0.4583658
3.628729820251465,-2225.0,-4716.98,160.95,-868.92,-0.6198641
