Tiempo,Posición,Velocidad,Ángulo,Velocidad angular,Acción
0.0,-59.0,-4581.6,-179.7,25.93,-0.9519541
0.14223241806030273,-384.0,-9744.51,177.15,-73.7,-0.9410247
0.18042874336242676,-819.0,-12552.3,173.4,-96.56,-0.93276703
0.2201220989227295,-1366.0,-13769.5,168.9,-95.51,-0.91051304
0.26158809661865234,-1969.0,-14793.36,164.85,-105.67,-0.8987893
0.30079007148742676,-2547.0,-14849.15,162.15,-70.71,-0.88731563
0.33912110328674316,-3140.0,-15835.68,160.8,-23.52,-0.85543394
0.3788270950317383,-3722.0,-15076.58,160.65,0.0,-0.7495005
0.41870856285095215,-4340.0,-14547.75,162.15,47.44,-0.6978091
0.45861124992370605,-4886.0,-13258.18,165.45,95.27,-0.19584528
0.49953413009643555,-5229.0,-1718.21,172.2,219.07,0.51836383
0.5393638610839844,-5093.0,5815.91,-176.7,303.44,0.98295563
0.5800511837005615,-4736.0,10124.1,-163.05,342.91,0.9865872
0.6226413249969482,-4280.0,12185.28,-150.3,314.72,0.9763011
0.6585183143615723,-3820.0,13511.35,-140.4,275.82,0.9488038
0.6975550651550293,-3244.0,14659.27,-131.1,202.06,0.90875345
0.7397000789642334,-2592.0,14908.98,-125.1,105.93,0.89995867
0.782012939453125,-1995.0,15060.24,-123.15,11.89,0.8943466
0.8193750381469727,-1441.0,15051.74,-124.65,-58.8,0.83940506
0.855553150177002,-904.0,15141.96,-129.15,-141.96,0.7422692
0.89560866355896,-305.0,13958.99,-137.85,-260.25,0.062289383
0.9358730316162109,82.0,4345.6,-150.45,-383.44,-0.8347135
0.9730405807495117,-18.0,-5476.91,-167.4,-518.2,-0.9434072
1.0128471851348877,-404.0,-10707.49,169.35,-535.37,-0.97359085
1.054224967956543,-895.0,-13174.31,146.85,-572.97,-0.9689915
1.0953569412231445,-1432.0,-13509.27,127.05,-459.47,-0.89467674
1.130793571472168,-1890.0,-12974.68,111.75,-403.48,-0.40918547
1.169161319732666,-2386.0,-11414.79,98.85,-277.33,-0.18498056
1.2118353843688965,-2806.0,-9937.58,90.3,-172.47,-0.259494
1.2531607151031494,-3202.0,-9237.87,86.4,-61.86,-0.40987393
1.2937729358673096,-3549.0,-9587.02,87.0,61.46,-0.696725
1.329195499420166,-3923.0,-11238.68,91.35,145.54,-0.8876303
1.3688948154449463,-4394.0,-12480.0,100.35,276.0,-0.86103255
1.4077060222625732,-4907.0,-12863.01,113.55,366.95,-0.70838034
1.4442682266235352,-5220.0,-2460.96,130.2,496.44,0.41849208
1.4837498664855957,-5071.0,5974.11,153.9,647.2,0.941656
1.5245649814605713,-4687.0,10548.86,-177.45,725.73,0.9726367
1.5668418407440186,-4187.0,12515.74,-147.9,696.63,0.972556
1.6070847511291504,-3662.0,13170.35,-121.5,626.97,0.9155269
1.6442680358886719,-3177.0,12607.04,-100.05,523.31,0.5483904
1.6854290962219238,-2678.0,12033.79,-81.45,418.39,0.5228581
